                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56843,                0.91532,                      1,                0.43384,             0.00023754,             0.00023754,             0.00023754
                      2,                0.39459,                0.90726,                      1,                0.42502,             0.00042846,             0.00042846,             0.00042846
                      3,                  0.362,                 0.8871,                      1,                0.42804,             0.00057226,             0.00057226,             0.00057226
                      4,                0.32432,                0.92339,                      1,                 0.4018,             0.00050194,             0.00050194,             0.00050194
                      5,                0.29687,                0.93145,                      1,                0.38477,             0.00043126,             0.00043126,             0.00043126
                      6,                0.28242,                0.95161,                      1,                 0.3779,             0.00036057,             0.00036057,             0.00036057
                      7,                0.24509,                0.91935,                      1,                0.39658,             0.00028988,             0.00028988,             0.00028988
                      8,                0.23419,                0.94355,                      1,                0.38515,              0.0002192,              0.0002192,              0.0002192
                      9,                 0.2188,                0.92742,                      1,                0.39122,             0.00014851,             0.00014851,             0.00014851
                     10,                0.21221,                0.93548,                      1,                0.38927,             7.7826e-05,             7.7826e-05,             7.7826e-05
